epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,3282.37,0.99835,0.55885,1.10687,0.95425,0.92724,0.95811,0.6239,1.36318,0.57307,1.42035,0.0074062,0.0074062,0.0074062
133,3304.29,0.99592,0.55051,1.11039,0.94284,0.9242,0.95976,0.62401,1.36771,0.60855,1.40605,0.0073864,0.0073864,0.0073864
134,3326.4,0.98992,0.56932,1.10922,0.93737,0.929,0.96371,0.61563,1.37603,0.58836,1.41257,0.0073666,0.0073666,0.0073666
135,3348.32,0.97572,0.55071,1.09845,0.94259,0.91117,0.95323,0.62366,1.35565,0.60318,1.41782,0.0073468,0.0073468,0.0073468
136,3370.29,0.98361,0.5513,1.10426,0.9468,0.91935,0.95304,0.61895,1.35963,0.59084,1.41963,0.007327,0.007327,0.007327
137,3392.26,0.97921,0.54854,1.10183,0.948,0.92307,0.95719,0.62344,1.35811,0.59962,1.41691,0.0073072,0.0073072,0.0073072
138,3414.17,0.98186,0.55966,1.10727,0.93802,0.91965,0.95379,0.61646,1.36981,0.59883,1.43607,0.0072874,0.0072874,0.0072874
139,3436.09,0.97874,0.54251,1.0982,0.94482,0.92269,0.9568,0.62361,1.35402,0.59207,1.42708,0.0072676,0.0072676,0.0072676
140,3458.06,0.97045,0.55691,1.10046,0.92778,0.93,0.95126,0.6216,1.36502,0.61896,1.43278,0.0072478,0.0072478,0.0072478
141,3480.1,0.96982,0.55383,1.09749,0.93655,0.92228,0.95165,0.62304,1.35243,0.59702,1.42674,0.007228,0.007228,0.007228
142,3502.14,0.97333,0.55751,1.10109,0.94361,0.91903,0.9591,0.62334,1.36043,0.5871,1.4175,0.0072082,0.0072082,0.0072082
143,3524.05,0.95171,0.53938,1.08928,0.94427,0.92545,0.96294,0.62308,1.36413,0.59785,1.42305,0.0071884,0.0071884,0.0071884
144,3545.99,0.97235,0.54991,1.10012,0.94373,0.92269,0.96404,0.62505,1.37331,0.60416,1.43132,0.0071686,0.0071686,0.0071686
145,3567.89,0.95964,0.53561,1.09286,0.95791,0.91441,0.96048,0.62233,1.35252,0.59495,1.42032,0.0071488,0.0071488,0.0071488
146,3589.87,0.94979,0.5393,1.0884,0.95684,0.92798,0.9645,0.62687,1.35496,0.57871,1.41971,0.007129,0.007129,0.007129
147,3611.85,0.95605,0.54764,1.08892,0.94781,0.92754,0.9641,0.63053,1.35322,0.57595,1.42463,0.0071092,0.0071092,0.0071092
148,3633.73,0.94156,0.53099,1.08897,0.95447,0.91703,0.9567,0.62416,1.34342,0.59601,1.42086,0.0070894,0.0070894,0.0070894
149,3655.78,0.96041,0.54244,1.09043,0.95164,0.92979,0.95911,0.6311,1.34978,0.57745,1.42613,0.0070696,0.0070696,0.0070696
150,3677.73,0.95222,0.53918,1.09166,0.95197,0.91726,0.95813,0.61979,1.36357,0.60018,1.44386,0.0070498,0.0070498,0.0070498
151,3699.66,0.95426,0.53709,1.08943,0.95118,0.92108,0.95253,0.61804,1.35068,0.58933,1.42983,0.00703,0.00703,0.00703
